Scraping 237 permits from ILMS (delay 2.0s, headless=True)...

[103/135] 25080058  Partial  6 insp  (3438 CHEVY CHASE DR 77019)
[104/135] 25058597  Partial  6 insp  (2260 PINE VALLEY DR 77019)
[105/135] 26014099  Partial  4 insp  (3843 DEL MONTE DR 77019)
[106/135] 26002697  Partial  9 insp  (2027 FAIRVIEW ST 77019)
[107/135] 25054886  Passed   40 insp  (1306 CROCKER ST 77019)
[108/135] 25094784  Partial  18 insp  (1107 WILSON ST 77019)
[109/135] 26001858  Partial  13 insp  (2505 INWOOD DR 77019)
[110/135] 26003094  Partial  28 insp  (2025 FAIRVIEW ST 77019)
[111/135] 25094785  Partial  15 insp  (1105 WILSON ST 77019)
[112/135] 25094786  Partial  15 insp  (1103 WILSON ST 77019)
[113/135] 25078300  Partial  40 insp  (1606 WOODHEAD ST 77019)
[114/135] 25106917  Passed   18 insp  (1918 HULDY ST 77019)
